objectid,title,creator,author,date,display_date,description,subject,relation,location,latitude,longitude,source,youtubeid,type,sort_order,format,filename
anafrank_primera,Ana Frank: Lectura crítica y memoria histórica (Primera parte),LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz (narrador invitado); Arminio Mestre (Entrevistador),2018-04,abril de 2018,"Conversación académica sobre el Diario de Ana Frank, su valor literario y su relevancia pedagógica. Rafael Ayala reflexiona sobre la adolescencia, la guerra, la lectura, el poder del diario y la resistencia, desde una perspectiva crítica y educativa.",Ana Frank; Segunda Guerra Mundial; Diario; Literatura juvenil; Resistencia; Educación para la memoria; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"[Ana Frank: Escritura, contradicción y resistencia (Segunda parte)](/items/anafrank_segunda); [Juan Rulfo: llano, sombra y silencio (Primera parte)](/items/juanrulfo_primera); [María: Borges, estética y lectura crítica (Cuarta parte)](/items/maria_cuarta); [María: historia, política y literatura (Primera parte)](/items/maria_primera); [María: genealogía y romanticismo (Segunda parte)](/items/maria_segunda); [María: voces, teatro y juventud (Tercera parte)](/items/maria_tercera); [María: naturaleza, estructura y legado (Última parte)](/items/maria_ultima); [Mayo del 68: juventud, rebeldía y utopía (Primera parte)](/items/mayo68_primera); [Mayo del 68: contracultura, arte y política (Segunda parte)](/items/mayo68_segunda); [Arte de la Segunda Postguerra: Expresionismo Abstracto, Op y Pop Art](/items/mm_artpos_1997); [¿Por qué apostarle al humanismo?](/items/porque_humanismo); [García Márquez: Los primeros cuentos y el mito personal (Primera parte)](/items/primeroscuentos_GGM_primera); [García Márquez: Sueños, espejos y el arte de narrar (Segunda parte)](/items/primeroscuentos_GGM_segunda); [La vorágine: Rivera, vida y territorio (Introducción)](/items/voragine); [La vorágine: fuga, drama y lenguaje (Primera parte)](/items/voragine_primera); [La vorágine: selva, dolor y tragedia (Segunda parte)](/items/voragine_segunda); [La vorágine: nombres, símbolos y narrativa (Tercera parte)](/items/voragine_tercera); [La vorágine: modernismo, esclavitud y resistencia (Última parte)](/items/voragine_ultima)","Bogotá, Colombia","47,125,798","-74,085,045","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/19_QTPF8ZIk",19_QTPF8ZIk,MovingImage,1,video/mp4,anafrank_primera.mp4
anafrank_segunda,"Ana Frank: Escritura, contradicción y resistencia (Segunda parte)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz (narrador invitado); Arminio Mestre (Entrevistador),2023-08,agosto de 2023,"Segunda entrega del programa radial sobre el Diario de Ana Frank. Rafael Ayala reflexiona sobre la evolución escritural de Ana, su experiencia en el encierro, el valor del testimonio y las lecciones éticas de la memoria frente al totalitarismo. Un homenaje pedagógico y humanista a una obra universal.",Ana Frank; Escritura; Biografía; Holocausto; Memoria; Humanismo; Educación crítica; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"[¿Poder para qué?](/items/ML_dic-ene_2009); [Competencias comunicativas: Lineamientos curriculares del lenguaje](/items/ML_jul-ago_2008); [Ana Frank: Lectura crítica y memoria histórica (Primera parte)](/items/anafrank_primera); [Juan Rulfo: llano, sombra y silencio (Primera parte)](/items/juanrulfo_primera); [María: Borges, estética y lectura crítica (Cuarta parte)](/items/maria_cuarta); [María: historia, política y literatura (Primera parte)](/items/maria_primera); [María: genealogía y romanticismo (Segunda parte)](/items/maria_segunda); [María: voces, teatro y juventud (Tercera parte)](/items/maria_tercera); [María: naturaleza, estructura y legado (Última parte)](/items/maria_ultima); [Mayo del 68: juventud, rebeldía y utopía (Primera parte)](/items/mayo68_primera); [Mayo del 68: contracultura, arte y política (Segunda parte)](/items/mayo68_segunda); [¿Por qué apostarle al humanismo?](/items/porque_humanismo); [García Márquez: Los primeros cuentos y el mito personal (Primera parte)](/items/primeroscuentos_GGM_primera); [García Márquez: Sueños, espejos y el arte de narrar (Segunda parte)](/items/primeroscuentos_GGM_segunda); [Los aprendizajes derivados de la investigación](/items/puj_lec); [Ruta pedagógica: Museos](/items/ruta05_museos); [Ruta pedagógica: Fénix Esperanzador](/items/ruta10_fenix); [De la ciudad y la escuela: todos tenemos una historia que contar](/items/ts_gesc_2005); [Re-corridos: las múltiples entradas de las salidas pedagógicas](/items/uge_2005); [La vorágine: Rivera, vida y territorio (Introducción)](/items/voragine); [La vorágine: fuga, drama y lenguaje (Primera parte)](/items/voragine_primera); [La vorágine: selva, dolor y tragedia (Segunda parte)](/items/voragine_segunda); [La vorágine: nombres, símbolos y narrativa (Tercera parte)](/items/voragine_tercera); [La vorágine: modernismo, esclavitud y resistencia (Última parte)](/items/voragine_ultima)","Bogotá, Colombia","47,125,798","-74,085,045","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/V1b_JuD82mk",V1b_JuD82mk,MovingImage,2,video/mp4,anafrank_segunda.mp4
voragine,"La vorágine: Rivera, vida y territorio (Introducción)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2017-10,octubre de 2017,"Programa introductorio sobre José Eustasio Rivera y su contexto vital. Rafael Ayala comenta su biografía, formación jurídica, viajes a la selva, denuncia social y proceso de escritura de *La vorágine*. Una mirada crítica al autor desde la literatura y la historia política.",José Eustasio Rivera; Biografía; Contexto histórico; Llanos; Amazonía; Corrupción; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"[Los Derechos Humanos aún tienen valor](/items/ML_may_2005); [Ana Frank: Lectura crítica y memoria histórica (Primera parte)](/items/anafrank_primera); [Ana Frank: Escritura, contradicción y resistencia (Segunda parte)](/items/anafrank_segunda); [Juan Rulfo: llano, sombra y silencio (Primera parte)](/items/juanrulfo_primera); [María: Borges, estética y lectura crítica (Cuarta parte)](/items/maria_cuarta); [María: historia, política y literatura (Primera parte)](/items/maria_primera); [María: genealogía y romanticismo (Segunda parte)](/items/maria_segunda); [María: voces, teatro y juventud (Tercera parte)](/items/maria_tercera); [María: naturaleza, estructura y legado (Última parte)](/items/maria_ultima); [Mayo del 68: juventud, rebeldía y utopía (Primera parte)](/items/mayo68_primera); [Mayo del 68: contracultura, arte y política (Segunda parte)](/items/mayo68_segunda); [¿Por qué apostarle al humanismo?](/items/porque_humanismo); [García Márquez: Los primeros cuentos y el mito personal (Primera parte)](/items/primeroscuentos_GGM_primera); [García Márquez: Sueños, espejos y el arte de narrar (Segunda parte)](/items/primeroscuentos_GGM_segunda); [La vorágine: fuga, drama y lenguaje (Primera parte)](/items/voragine_primera); [La vorágine: selva, dolor y tragedia (Segunda parte)](/items/voragine_segunda); [La vorágine: nombres, símbolos y narrativa (Tercera parte)](/items/voragine_tercera); [La vorágine: modernismo, esclavitud y resistencia (Última parte)](/items/voragine_ultima)","Bogotá, Colombia","47,125,798","-74,085,045","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/uwcfTWUKeNg",uwcfTWUKeNg,MovingImage,3,video/mp4,voragine.mp4
voragine_primera,"La vorágine: fuga, drama y lenguaje (Primera parte)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2017-10,octubre de 2017,"Primera entrega del análisis de *La vorágine*. Reflexión sobre el protagonista Arturo Cova y su huida como ruptura con la civilización. Rafael Ayala explora el uso del lenguaje poético, el concepto de drama, los símbolos naturales y la estructura narrativa de Rivera.",La vorágine; Drama; Lenguaje literario; Fuga; Naturaleza; Narrador; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar},"[Ana Frank: Lectura crítica y memoria histórica (Primera parte)](/items/anafrank_primera); [Ana Frank: Escritura, contradicción y resistencia (Segunda parte)](/items/anafrank_segunda); [Juan Rulfo: llano, sombra y silencio (Primera parte)](/items/juanrulfo_primera); [María: Borges, estética y lectura crítica (Cuarta parte)](/items/maria_cuarta); [María: historia, política y literatura (Primera parte)](/items/maria_primera); [María: genealogía y romanticismo (Segunda parte)](/items/maria_segunda); [María: voces, teatro y juventud (Tercera parte)](/items/maria_tercera); [María: naturaleza, estructura y legado (Última parte)](/items/maria_ultima); [Mayo del 68: juventud, rebeldía y utopía (Primera parte)](/items/mayo68_primera); [Mayo del 68: contracultura, arte y política (Segunda parte)](/items/mayo68_segunda); [¿Por qué apostarle al humanismo?](/items/porque_humanismo); [García Márquez: Los primeros cuentos y el mito personal (Primera parte)](/items/primeroscuentos_GGM_primera); [García Márquez: Sueños, espejos y el arte de narrar (Segunda parte)](/items/primeroscuentos_GGM_segunda); [La vorágine: Rivera, vida y territorio (Introducción)](/items/voragine); [La vorágine: selva, dolor y tragedia (Segunda parte)](/items/voragine_segunda); [La vorágine: nombres, símbolos y narrativa (Tercera parte)](/items/voragine_tercera); [La vorágine: modernismo, esclavitud y resistencia (Última parte)](/items/voragine_ultima)","Bogotá, Colombia","47,125,798","-74,085,045","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/sUvEvQ-Sh2U",sUvEvQ-Sh2U,MovingImage,4,video/mp4,voragine_primera.mp4
voragine_segunda,"La vorágine: selva, dolor y tragedia (Segunda parte)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2017-10,octubre de 2017,"Segunda entrega del análisis literario. Ayala profundiza en las pasiones que atraviesan la obra: amor, corrupción, odio, violencia y muerte. Se analiza la selva como espacio simbólico, la tragedia como estructura y la angustia como experiencia humana.",José Eustasio Rivera; Tragedia; Pasiones humanas; Selva; Violencia; Explotación; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"[Ana Frank: Lectura crítica y memoria histórica (Primera parte)](/items/anafrank_primera); [Ana Frank: Escritura, contradicción y resistencia (Segunda parte)](/items/anafrank_segunda); [Juan Rulfo: llano, sombra y silencio (Primera parte)](/items/juanrulfo_primera); [María: Borges, estética y lectura crítica (Cuarta parte)](/items/maria_cuarta); [María: historia, política y literatura (Primera parte)](/items/maria_primera); [María: genealogía y romanticismo (Segunda parte)](/items/maria_segunda); [María: voces, teatro y juventud (Tercera parte)](/items/maria_tercera); [María: naturaleza, estructura y legado (Última parte)](/items/maria_ultima); [Mayo del 68: juventud, rebeldía y utopía (Primera parte)](/items/mayo68_primera); [Mayo del 68: contracultura, arte y política (Segunda parte)](/items/mayo68_segunda); [¿Por qué apostarle al humanismo?](/items/porque_humanismo); [García Márquez: Los primeros cuentos y el mito personal (Primera parte)](/items/primeroscuentos_GGM_primera); [García Márquez: Sueños, espejos y el arte de narrar (Segunda parte)](/items/primeroscuentos_GGM_segunda); [La vorágine: Rivera, vida y territorio (Introducción)](/items/voragine); [La vorágine: fuga, drama y lenguaje (Primera parte)](/items/voragine_primera); [La vorágine: nombres, símbolos y narrativa (Tercera parte)](/items/voragine_tercera); [La vorágine: modernismo, esclavitud y resistencia (Última parte)](/items/voragine_ultima)","Bogotá, Colombia","47,125,798","-74,085,045","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/fRKrUMs3siE",fRKrUMs3siE,MovingImage,5,video/mp4,voragine_segunda.mp4
voragine_tercera,"La vorágine: nombres, símbolos y narrativa (Tercera parte)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2017-10,octubre de 2017,"Exploración del significado de los nombres de los personajes. Rafael Ayala interpreta su carga simbólica y función literaria. Se analiza el simbolismo del viaje, la estructura de la novela y la crítica social detrás del relato.",La vorágine; Simbolismo; Personajes; Nombres; Estructura narrativa; Selva; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"[Ana Frank: Lectura crítica y memoria histórica (Primera parte)](/items/anafrank_primera); [Ana Frank: Escritura, contradicción y resistencia (Segunda parte)](/items/anafrank_segunda); [Juan Rulfo: llano, sombra y silencio (Primera parte)](/items/juanrulfo_primera); [María: Borges, estética y lectura crítica (Cuarta parte)](/items/maria_cuarta); [María: historia, política y literatura (Primera parte)](/items/maria_primera); [María: genealogía y romanticismo (Segunda parte)](/items/maria_segunda); [María: voces, teatro y juventud (Tercera parte)](/items/maria_tercera); [María: naturaleza, estructura y legado (Última parte)](/items/maria_ultima); [Mayo del 68: juventud, rebeldía y utopía (Primera parte)](/items/mayo68_primera); [Mayo del 68: contracultura, arte y política (Segunda parte)](/items/mayo68_segunda); [¿Por qué apostarle al humanismo?](/items/porque_humanismo); [García Márquez: Los primeros cuentos y el mito personal (Primera parte)](/items/primeroscuentos_GGM_primera); [García Márquez: Sueños, espejos y el arte de narrar (Segunda parte)](/items/primeroscuentos_GGM_segunda); [La vorágine: Rivera, vida y territorio (Introducción)](/items/voragine); [La vorágine: fuga, drama y lenguaje (Primera parte)](/items/voragine_primera); [La vorágine: selva, dolor y tragedia (Segunda parte)](/items/voragine_segunda); [La vorágine: modernismo, esclavitud y resistencia (Última parte)](/items/voragine_ultima)","Bogotá, Colombia","47,125,798","-74,085,045","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/hvE_f1VjwRE",hvE_f1VjwRE,MovingImage,6,video/mp4,voragine_tercera.mp4
voragine_ultima,"La vorágine: modernismo, esclavitud y resistencia (Última parte)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2017-10,octubre de 2017,"Episodio final del análisis literario. Ayala destaca la fuerza expresiva de Rivera, el realismo, barroco y modernismo de la novela, la denuncia del sistema esclavista en el caucho, y la selva como infierno americano. Una lectura americanista de resistencia.",La vorágine; Modernismo; Realismo; Esclavitud; Caucho; Literatura americanista; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"[El negro es el color del rock](/items/ML_mar_2006); [Ana Frank: Lectura crítica y memoria histórica (Primera parte)](/items/anafrank_primera); [Ana Frank: Escritura, contradicción y resistencia (Segunda parte)](/items/anafrank_segunda); [Juan Rulfo: llano, sombra y silencio (Primera parte)](/items/juanrulfo_primera); [María: Borges, estética y lectura crítica (Cuarta parte)](/items/maria_cuarta); [María: historia, política y literatura (Primera parte)](/items/maria_primera); [María: genealogía y romanticismo (Segunda parte)](/items/maria_segunda); [María: voces, teatro y juventud (Tercera parte)](/items/maria_tercera); [María: naturaleza, estructura y legado (Última parte)](/items/maria_ultima); [Mayo del 68: juventud, rebeldía y utopía (Primera parte)](/items/mayo68_primera); [Mayo del 68: contracultura, arte y política (Segunda parte)](/items/mayo68_segunda); [¿Por qué apostarle al humanismo?](/items/porque_humanismo); [García Márquez: Los primeros cuentos y el mito personal (Primera parte)](/items/primeroscuentos_GGM_primera); [García Márquez: Sueños, espejos y el arte de narrar (Segunda parte)](/items/primeroscuentos_GGM_segunda); [La vorágine: Rivera, vida y territorio (Introducción)](/items/voragine); [La vorágine: fuga, drama y lenguaje (Primera parte)](/items/voragine_primera); [La vorágine: selva, dolor y tragedia (Segunda parte)](/items/voragine_segunda); [La vorágine: nombres, símbolos y narrativa (Tercera parte)](/items/voragine_tercera)","Bogotá, Colombia","47,125,798","-74,085,045","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/aGC-Qdf1SWw",aGC-Qdf1SWw,MovingImage,7,video/mp4,voragine_ultima.mp4
maria_primera,"María: historia, política y literatura (Primera parte)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2018-08,agosto de 2018,"Primera entrega del análisis de la novela *María* de Jorge Isaacs. Rafael Ayala comenta el contexto histórico, político y editorial de la obra: el conflicto entre iglesia y Estado, la abolición de la esclavitud, el surgimiento del liberalismo, y la vida del autor.",Jorge Isaacs; Literatura romántica; Historia colombiana; Abolición; Sociedad del siglo XIX; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"[Ana Frank: Lectura crítica y memoria histórica (Primera parte)](/items/anafrank_primera); [Ana Frank: Escritura, contradicción y resistencia (Segunda parte)](/items/anafrank_segunda); [Juan Rulfo: llano, sombra y silencio (Primera parte)](/items/juanrulfo_primera); [María: Borges, estética y lectura crítica (Cuarta parte)](/items/maria_cuarta); [María: genealogía y romanticismo (Segunda parte)](/items/maria_segunda); [María: voces, teatro y juventud (Tercera parte)](/items/maria_tercera); [María: naturaleza, estructura y legado (Última parte)](/items/maria_ultima); [Mayo del 68: juventud, rebeldía y utopía (Primera parte)](/items/mayo68_primera); [Mayo del 68: contracultura, arte y política (Segunda parte)](/items/mayo68_segunda); [¿Por qué apostarle al humanismo?](/items/porque_humanismo); [García Márquez: Los primeros cuentos y el mito personal (Primera parte)](/items/primeroscuentos_GGM_primera); [García Márquez: Sueños, espejos y el arte de narrar (Segunda parte)](/items/primeroscuentos_GGM_segunda); [La vorágine: Rivera, vida y territorio (Introducción)](/items/voragine); [La vorágine: fuga, drama y lenguaje (Primera parte)](/items/voragine_primera); [La vorágine: selva, dolor y tragedia (Segunda parte)](/items/voragine_segunda); [La vorágine: nombres, símbolos y narrativa (Tercera parte)](/items/voragine_tercera); [La vorágine: modernismo, esclavitud y resistencia (Última parte)](/items/voragine_ultima)","Bogotá, Colombia","47,125,798","-74,085,045","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/uCKroK-uEmE",uCKroK-uEmE,MovingImage,8,video/mp4,maria_primera.mp4
maria_segunda,María: genealogía y romanticismo (Segunda parte),LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2018-08,agosto de 2018,"Segunda entrega del programa radial sobre *María*. Se profundiza en las influencias literarias de Jorge Isaacs, su formación romántica y sus intentos teatrales. Rafael Ayala analiza el estilo narrativo, las lecturas del autor y su proyecto literario inconcluso.",Literatura colombiana; Romanticismo; Influencias literarias; Jorge Isaacs; Educación; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"[CIUDAD Y ESCUELA. La mística del tejido](/items/ML_abr_2005); [Evaluar es valorar: Implicaciones y observaciones de un eslogan publicitario](/items/ML_abr_2009); [Relaciones peligrosas. Por qué no es razonable desarticular a los funcionarios administrativos
 de los procesos académicos, pedagógicos, investigativos y de extensión que se desarrollan en la educación superior.](/items/ML_ago-sep_2008); [Periodistas y comunicadores sociales (segunda parte)](/items/ML_dic_2007); [Aproximación didáctica al pensamiento complejo de Edgar Morin](/items/ML_feb_2006); [¿Qué evalúa una nota?](/items/ML_feb_2009); [Competencias comunicativas: Lineamientos curriculares del lenguaje](/items/ML_jul-ago_2008); [COMUNICACIÓN: Algunos viejos consejos para jóvenes consejeros](/items/ML_mar_2007); [Aportes de la educación no formal en la historia de la humanidad](/items/ML_mar_2009); [Acerca de la lateralidad cerebral: Dos caras de la misma moneda](/items/ML_nov_2005); [PERIODISTAS Y COMUNICADORES SOCIALES. Formadores del siglo XXI](/items/ML_nov_2007); [Emociones inteligentes para vivir](/items/ML_oct_2004); [NO PODEMOS PEDIRLE PERAS AL OLMO. No podemos pedirle el desarrollo de pensamiento complejoal paradigma disciplinar de la pedagogía tradicional](/items/ML_sep_2004); [Orígenes del español (Cuarta y última parte)](/items/ML_sep_2007); [Ana Frank: Lectura crítica y memoria histórica (Primera parte)](/items/anafrank_primera); [Ana Frank: Escritura, contradicción y resistencia (Segunda parte)](/items/anafrank_segunda); [Elogio a la escucha](/items/esc_lid_2008_1); [Juan Rulfo: llano, sombra y silencio (Primera parte)](/items/juanrulfo_primera); [María: Borges, estética y lectura crítica (Cuarta parte)](/items/maria_cuarta); [María: historia, política y literatura (Primera parte)](/items/maria_primera); [María: voces, teatro y juventud (Tercera parte)](/items/maria_tercera); [María: naturaleza, estructura y legado (Última parte)](/items/maria_ultima); [Mayo del 68: juventud, rebeldía y utopía (Primera parte)](/items/mayo68_primera); [Mayo del 68: contracultura, arte y política (Segunda parte)](/items/mayo68_segunda); [Entrevista a Daniel Cassany: “En el mundo occidental actual, alguien que no sepa leer y escribir queda excluido”](/items/pol_cas); [¿Por qué apostarle al humanismo?](/items/porque_humanismo); [García Márquez: Los primeros cuentos y el mito personal (Primera parte)](/items/primeroscuentos_GGM_primera); [García Márquez: Sueños, espejos y el arte de narrar (Segunda parte)](/items/primeroscuentos_GGM_segunda); [Ruta pedagógica: Ciencia](/items/ruta02_ciencia); [De la ciudad y la escuela: todos tenemos una historia que contar](/items/ts_gesc_2005); [La vorágine: Rivera, vida y territorio (Introducción)](/items/voragine); [La vorágine: fuga, drama y lenguaje (Primera parte)](/items/voragine_primera); [La vorágine: selva, dolor y tragedia (Segunda parte)](/items/voragine_segunda); [La vorágine: nombres, símbolos y narrativa (Tercera parte)](/items/voragine_tercera); [La vorágine: modernismo, esclavitud y resistencia (Última parte)](/items/voragine_ultima)","Bogotá, Colombia","47,125,798","-74,085,045","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/yghNR-D2Hwg",yghNR-D2Hwg,MovingImage,9,video/mp4,maria_segunda.mp4
maria_tercera,"María: voces, teatro y juventud (Tercera parte)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2018-08,agosto de 2018,"Tercer episodio dedicado a *María*. Se recrean pasajes mediante radioteatro, se analiza el peso del diálogo en la novela, su carácter escénico y la manera en que interpela al lector desde la subjetividad y el deseo. Reflexiones sobre erotismo, lenguaje y juventud.",Jorge Isaacs; Radioteatro; Diálogo; Erotismo; Teatro y literatura; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"[COMUNICACIÓN: Algunos viejos consejos para jóvenes consejeros](/items/ML_mar_2007); [Ana Frank: Lectura crítica y memoria histórica (Primera parte)](/items/anafrank_primera); [Ana Frank: Escritura, contradicción y resistencia (Segunda parte)](/items/anafrank_segunda); [Juan Rulfo: llano, sombra y silencio (Primera parte)](/items/juanrulfo_primera); [María: Borges, estética y lectura crítica (Cuarta parte)](/items/maria_cuarta); [María: historia, política y literatura (Primera parte)](/items/maria_primera); [María: genealogía y romanticismo (Segunda parte)](/items/maria_segunda); [María: naturaleza, estructura y legado (Última parte)](/items/maria_ultima); [Mayo del 68: juventud, rebeldía y utopía (Primera parte)](/items/mayo68_primera); [Mayo del 68: contracultura, arte y política (Segunda parte)](/items/mayo68_segunda); [¿Por qué apostarle al humanismo?](/items/porque_humanismo); [García Márquez: Los primeros cuentos y el mito personal (Primera parte)](/items/primeroscuentos_GGM_primera); [García Márquez: Sueños, espejos y el arte de narrar (Segunda parte)](/items/primeroscuentos_GGM_segunda); [La vorágine: Rivera, vida y territorio (Introducción)](/items/voragine); [La vorágine: fuga, drama y lenguaje (Primera parte)](/items/voragine_primera); [La vorágine: selva, dolor y tragedia (Segunda parte)](/items/voragine_segunda); [La vorágine: nombres, símbolos y narrativa (Tercera parte)](/items/voragine_tercera); [La vorágine: modernismo, esclavitud y resistencia (Última parte)](/items/voragine_ultima)","Bogotá, Colombia","47,125,798","-74,085,045","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/lmdiPyA5JW0",lmdiPyA5JW0,MovingImage,10,video/mp4,maria_tercera.mp4
