objectid,title,creator,author,date,display_date,description,subject,location,latitude,longitude,source,youtubeid,type,format,filename,filename
anafrank_primera,Ana Frank: Lectura crítica y memoria histórica (Primera parte),LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz (narrador invitado); Arminio Mestre (Entrevistador),2018-04,abril de 2018,"Conversación académica sobre el Diario de Ana Frank, su valor literario y su relevancia pedagógica. Rafael Ayala reflexiona sobre la adolescencia, la guerra, la lectura, el poder del diario y la resistencia, desde una perspectiva crítica y educativa.",Ana Frank; Segunda Guerra Mundial; Diario; Literatura juvenil; Resistencia; Educación para la memoria; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"Bogotá, Colombia","47,125,798","-740,850,452","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/19_QTPF8ZIk",19_QTPF8ZIk,MovingImage,video/mp4,anafrank_primera.mp4,anafrank_primera.mp4
anafrank_segunda,"Ana Frank: Escritura, contradicción y resistencia (Segunda parte)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz (narrador invitado); Arminio Mestre (Entrevistador),2023-08,agosto de 2023,"Segunda entrega del programa radial sobre el Diario de Ana Frank. Rafael Ayala reflexiona sobre la evolución escritural de Ana, su experiencia en el encierro, el valor del testimonio y las lecciones éticas de la memoria frente al totalitarismo. Un homenaje pedagógico y humanista a una obra universal.",Ana Frank; Escritura; Biografía; Holocausto; Memoria; Humanismo; Educación crítica; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"Bogotá, Colombia","47,125,798","-740,850,452","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/V1b_JuD82mk",V1b_JuD82mk,MovingImage,video/mp4,anafrank_segunda.mp4,anafrank_segunda.mp4
voragine,"La vorágine: Rivera, vida y territorio (Introducción)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2017-10,octubre de 2017,"Programa introductorio sobre José Eustasio Rivera y su contexto vital. Rafael Ayala comenta su biografía, formación jurídica, viajes a la selva, denuncia social y proceso de escritura de *La vorágine*. Una mirada crítica al autor desde la literatura y la historia política.",José Eustasio Rivera; Biografía; Contexto histórico; Llanos; Amazonía; Corrupción; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"Bogotá, Colombia","47,125,798","-740,850,452","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/uwcfTWUKeNg",uwcfTWUKeNg,MovingImage,video/mp4,voragine.mp4,voragine.mp4
voragine_primera,"La Vorágine: fuga, drama y lenguaje (Primera parte)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2017-10,octubre de 2017,"Primera entrega del análisis de *La vorágine*. Reflexión sobre el protagonista Arturo Cova y su huida como ruptura con la civilización. Rafael Ayala explora el uso del lenguaje poético, el concepto de drama, los símbolos naturales y la estructura narrativa de Rivera.",La vorágine; Drama; Lenguaje literario; Fuga; Naturaleza; Narrador; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar},"Bogotá, Colombia","47,125,798","-740,850,452","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/sUvEvQ-Sh2U",sUvEvQ-Sh2U,MovingImage,video/mp4,voragine_primera.mp4,voragine_primera.mp4
voragine_segunda,"La Vorágine: selva, dolor y tragedia (Segunda parte)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2017-10,octubre de 2017,"Segunda entrega del análisis literario. Ayala profundiza en las pasiones que atraviesan la obra: amor, corrupción, odio, violencia y muerte. Se analiza la selva como espacio simbólico, la tragedia como estructura y la angustia como experiencia humana.",José Eustasio Rivera; Tragedia; Pasiones humanas; Selva; Violencia; Explotación; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"Bogotá, Colombia","47,125,798","-740,850,452","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/fRKrUMs3siE",fRKrUMs3siE,MovingImage,video/mp4,voragine_segunda.mp4,voragine_segunda.mp4
voragine_tercera,"La Vorágine: nombres, símbolos y narrativa (Tercera parte)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2017-10,octubre de 2017,"Exploración del significado de los nombres de los personajes. Rafael Ayala interpreta su carga simbólica y función literaria. Se analiza el simbolismo del viaje, la estructura de la novela y la crítica social detrás del relato.",La vorágine; Simbolismo; Personajes; Nombres; Estructura narrativa; Selva; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"Bogotá, Colombia","47,125,798","-740,850,452","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/hvE_f1VjwRE",hvE_f1VjwRE,MovingImage,video/mp4,voragine_tercera.mp4,voragine_tercera.mp4
voragine_ultima,"La Vorágine: modernismo, esclavitud y resistencia (Última parte)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2017-10,octubre de 2017,"Episodio final del análisis literario. Ayala destaca la fuerza expresiva de Rivera, el realismo, barroco y modernismo de la novela, la denuncia del sistema esclavista en el caucho, y la selva como infierno americano. Una lectura americanista de resistencia.",La vorágine; Modernismo; Realismo; Esclavitud; Caucho; Literatura americanista; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"Bogotá, Colombia","47,125,798","-740,850,452","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/aGC-Qdf1SWw",aGC-Qdf1SWw,MovingImage,video/mp4,voragine_ultima.mp4,voragine_ultima.mp4
maria_primera,"María: historia, política y literatura (Primera parte)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2018-08,agosto de 2018,"Primera entrega del análisis de la novela *María* de Jorge Isaacs. Rafael Ayala comenta el contexto histórico, político y editorial de la obra: el conflicto entre iglesia y Estado, la abolición de la esclavitud, el surgimiento del liberalismo, y la vida del autor.",Jorge Isaacs; Literatura romántica; Historia colombiana; Abolición; Sociedad del siglo XIX; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"Bogotá, Colombia","47,125,798","-740,850,452","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/uCKroK-uEmE",uCKroK-uEmE,MovingImage,video/mp4,maria_primera.mp4,maria_primera.mp4
maria_segunda,María: genealogía y romanticismo (Segunda parte),LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2018-08,agosto de 2018,"Segunda entrega del programa radial sobre *María*. Se profundiza en las influencias literarias de Jorge Isaacs, su formación romántica y sus intentos teatrales. Rafael Ayala analiza el estilo narrativo, las lecturas del autor y su proyecto literario inconcluso.",Literatura colombiana; Romanticismo; Influencias literarias; Jorge Isaacs; Educación; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"Bogotá, Colombia","47,125,798","-740,850,452","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/yghNR-D2Hwg",yghNR-D2Hwg,MovingImage,video/mp4,maria_segunda.mp4,maria_segunda.mp4
maria_tercera,"María: voces, teatro y juventud (Tercera parte)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2018-08,agosto de 2018,"Tercer episodio dedicado a *María*. Se recrean pasajes mediante radioteatro, se analiza el peso del diálogo en la novela, su carácter escénico y la manera en que interpela al lector desde la subjetividad y el deseo. Reflexiones sobre erotismo, lenguaje y juventud.",Jorge Isaacs; Radioteatro; Diálogo; Erotismo; Teatro y literatura; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"Bogotá, Colombia","47,125,798","-740,850,452","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/lmdiPyA5JW0",lmdiPyA5JW0,MovingImage,video/mp4,maria_tercera.mp4,maria_tercera.mp4
maria_cuarta,"María: Borges, estética y lectura crítica (Cuarta parte)",LAUD 90.4 FM - Universidad Distrital,Rafael Ayala Sáenz,2018-08,agosto de 2018,"Cuarta entrega del ciclo sobre *María*. Rafael Ayala analiza el impacto estético y filosófico de la obra desde Borges y Derrida, y explora el trasfondo literario, poético y político de Isaacs. Reflexión sobre el estilo, la narrativa amorosa y la conciencia histórica.",Jorge Isaacs; Borges; Estética; Filosofía; Influencias; Lectura crítica; LAUD 90.4 FM - Universidad Distrital; Rafael Ayala Sáenz; Amantes del círculo Polar,"Bogotá, Colombia","47,125,798","-740,850,452","LAUD 90.4 FM en Programa radial ""Amantes del círculo polar"", La U de Estéreo: https://youtu.be/zSwLlITPk8c",zSwLlITPk8c,MovingImage,video/mp4,maria_cuarta.mp4,maria_cuarta.mp4
